GEOID,state_alpha,nccpi3corn,nccpi3all,aws0_100,aws0_150,soc0_30,soc0_100,rootznemc,rootznaws,droughty,pctearthmc,pwsl1pomu
08111,CO,0.001025143246408638,0.016436284936240914,42.89709612321575,54.18769316034231,4988.077709656328,6175.433699919703,86.99268107082642,71.68305915679619,0.9398887123319061,51.40359125808879,24.396842333096277
08113,CO,0.029771134777997282,0.10784324649486787,88.3659891204857,117.8644469149989,3630.7318712059187,5596.56903001154,112.93895034839859,146.3660723340017,0.47998852755818805,71.67086824393806,48.35326718485388
08115,CO,0.1476942691276209,0.3655522850976044,128.96647037203707,184.18123752354347,4066.521240016404,8639.889831259015,147.47594417580402,203.61251234414516,0.24469666238449334,86.42291792097632,26.745758140710663
08117,CO,0.0021614111440246882,0.02898575950551822,70.56025834970598,96.65138193112192,3838.639565235147,5707.693060854586,119.16462621488081,102.81071045041237,0.8460316443670166,69.8137364079954,86.40818844006665
08119,CO,0.01094931458393444,0.035057514392233736,34.004651239847206,40.49583364312607,4609.964860276567,6340.330370890165,57.434263429776536,36.907689364608515,0.9387752233313192,76.21459903376304,29.559499097714152
08121,CO,0.126087633731795,0.3334939561571481,136.8356718806005,202.71247741831655,3200.911745104451,6568.534448859766,146.73576887026547,211.2432649708415,0.21870055543725717,83.73860315380051,5.185524055543805
08123,CO,0.07224460089648821,0.22996512699822344,108.87231181636669,154.6877859830154,2303.7705567893313,4676.911718335381,138.22317643474997,167.69255910389344,0.33408734891351655,83.31381854023401,143.98514916044235
08125,CO,0.13108462050372652,0.29110085321123297,102.60902689544858,149.70440959821124,3230.16600077387,6602.642395950419,143.44913709284177,155.70530087408005,0.5057046306308225,83.96857143672186,8.158192754567033
19001,IA,0.7853190631732492,0.7923434066752787,181.10149282752795,268.5173291237177,6837.989708795159,13834.129470291364,149.5203495096817,268.62331901540824,0.0021675463367279548,86.27513830760228,51.46616251280161
19003,IA,0.6638358700579766,0.670590277874677,173.4595471453973,257.70715619372186,6371.983853793107,12958.187586071706,149.9999514066891,264.8060079704053,1.5615997836541288e-06,81.43539392826331,47.02950684141895
19005,IA,0.5775921904614173,0.5850381237324475,170.33495255731017,239.01569678478637,4513.363303624329,7851.915497918787,138.90633243659727,241.60195873077635,0.2602917366110212,83.82325480396227,297.94545907106055
19007,IA,0.6683174441754517,0.6789488743796316,161.93259484193652,237.0757362400023,5422.290988994339,9538.793368926823,146.73763966303196,233.09258220650872,0.11696642633556723,87.2414808823932,106.13916409731411
19009,IA,0.8223368486722874,0.8281293535801283,189.14527995516445,281.58266513784605,5753.7732784413,12724.768628697315,150.0,283.45172465768366,0.0,84.57811523807143,43.82041935909519
19011,IA,0.8374082307740124,0.8390515787769596,172.17309449647348,247.46536270448777,7718.18931227598,16480.56317920209,120.08549495572218,208.30881344081467,0.14284556111626212,90.89735049256413,72.04193121755183
19013,IA,0.7713719980529622,0.7784202112770082,156.39372463088583,216.81565865467994,8941.919574574704,18040.432990145797,113.74945721219129,175.15757180577972,0.3911080866586598,84.21718272513769,87.52245775049583
